Project,Package,Address,AMW,ATFD,BOvM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,Futile Abstract Pipeline,GREEDY,HIT,LOCC,NAS,NAbsM,NOA,NOAM,NOD,NODD,NOM,NOPA,NProtM,NTempF,NSPECM,NrEC,NrBM,NrFE,NrIC,NrSS,PNAS,SCHIZO,TCC,Tradition Breaker,Temporary Field Host,WMC,WOC,is abstract,is interface,is leaf-class,is root-class,Brain Class
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,RemindValueProperty,freemind.common.RemindValueProperty,1,0,1,0.71,1,0,0,0,1,2,1,0,FALSE,0,0,24,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,2,0,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ThreeCheckBoxProperty,freemind.common.ThreeCheckBoxProperty,2,0,0,1,1,2,6,2,0,1,1,0,FALSE,0,1,128,0,0,16,2,1,1,10,4,1,0,0,0,0,0,0,0,0,0,0.28,FALSE,FALSE,20,0.31,FALSE,FALSE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ScriptEditorProperty,freemind.common.ScriptEditorProperty,1.56,0,0,1,6,0,0,0,1,1,9,0,FALSE,0,0,97,1,0,7,2,0,0,9,5,0,0,0,0,0,0,0,0,0.14,1,0.21,FALSE,FALSE,14,0.42,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,SeparatorProperty,freemind.common.SeparatorProperty,1,1,0,1,1,0,0,2,0,0,1,1,FALSE,0,0,27,0,0,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,5,0.2,FALSE,FALSE,TRUE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,StringProperty,freemind.common.StringProperty,1,0,0,1,1,1,1,0,0,1,1,0,FALSE,0,0,57,0,0,3,2,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0.4,FALSE,FALSE,7,0.44,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,UnicodeReader,freemind.common.UnicodeReader,4.17,0,0,1,0,0,0,0,0,1,0,0,FALSE,0,0,94,0,0,4,1,0,0,6,3,1,0,0,0,0,0,0,0,-1,0,0.7,FALSE,FALSE,25,0.43,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,XmlBindingTools,freemind.common.XmlBindingTools,1.4,0,0,1,2,4,12,0,1,0,4,0,FALSE,0,0,129,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,-1,0,0.08,FALSE,FALSE,14,1,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,AttributeRegistry,freemind.modes.attributes.AttributeRegistry,1.6,9,0,1,13,29,79,2.5,4,0,44,4,FALSE,1110,0,373,0,0,16,6,0,0,47,0,1,2,0,0,0,0,1,3,-1,0,0.09,FALSE,TRUE,75,0.83,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,AttributeTableModel,freemind.modes.attributes.AttributeTableModel,0,0,0,1,0,7,7,0,0,0,0,0,FALSE,0,2,15,0,7,0,0,4,2,7,0,0,0,0,0,0,0,0,0,-1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,Attribute,freemind.modes.attributes.Attribute,1,0,0,1,0,12,24,2,0,0,0,0,FALSE,0,0,37,0,0,2,4,0,0,8,0,0,0,0,0,0,0,0,2,-1,0,0.6,FALSE,FALSE,8,0.2,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,AttributeController,freemind.modes.attributes.AttributeController,0,0,0,1,0,12,21,0,0,0,0,0,FALSE,0,1,31,0,14,0,0,1,1,14,0,0,0,0,0,0,0,0,0,-1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,NodeAttributeTableModel,freemind.modes.attributes.NodeAttributeTableModel,1.63,8,0,1,11,23,58,2.5,2,1,28,4,FALSE,2000,0,212,15,0,7,4,0,0,30,0,0,0,0,0,0,1,0,3,0.75,0,0.22,FALSE,FALSE,49,0.83,FALSE,FALSE,TRUE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,AttributeRegistryComboBoxColumnModel,freemind.modes.attributes.AttributeRegistryComboBoxColumnModel,1.33,1,0,1,2,0,0,0,1,1,9,1,FALSE,0,0,99,4,0,2,1,0,0,12,0,0,0,0,0,0,0,0,0,0.45,0,0.4,FALSE,FALSE,16,0.91,FALSE,FALSE,TRUE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,AttributeRegistryTableModel,freemind.modes.attributes.AttributeRegistryTableModel,2.67,1,0,1,3,2,6,0,1,1,10,1,FALSE,0,0,134,0,0,6,1,0,0,15,0,0,1,0,0,0,0,0,0,-1,0,0.03,FALSE,TRUE,40,0.93,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,AttributeRegistryElement,freemind.modes.attributes.AttributeRegistryElement,1.29,1,0,1,5,14,33,0,2,0,17,1,FALSE,0,0,129,0,0,7,7,0,0,17,0,0,0,0,0,0,0,0,1,-1,1,0.29,FALSE,FALSE,22,0.75,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,AttributeTableLayoutModel,freemind.modes.attributes.AttributeTableLayoutModel,1.62,0,0,1,2,6,8,2,0,0,2,0,FALSE,0,0,66,0,0,8,1,0,0,8,2,1,1,0,0,0,0,0,0,-1,0,0.1,FALSE,TRUE,13,0.3,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ColumnWidthChangeEvent,freemind.modes.attributes.ColumnWidthChangeEvent,1,0,0,1,0,1,1,0,0,1,0,0,FALSE,0,0,13,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,1,FALSE,FALSE,2,0,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ColumnWidthChangeListener,freemind.modes.attributes.ColumnWidthChangeListener,0,0,0,1,0,1,1,0,0,0,0,0,FALSE,0,1,7,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,1,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,FileController,freemind.modes.filemode.FileController,1.5,1,1,1,6,0,0,0,0,2,9,1,FALSE,0,0,103,0,0,4,1,0,0,8,3,0,3,0,0,0,0,0,0,0,2,0,FALSE,TRUE,12,0.56,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,FileEdgeModel,freemind.modes.filemode.FileEdgeModel,1,0,0,0,0,0,0,0,0,2,0,0,FALSE,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,FileMapModel,freemind.modes.filemode.FileMapModel,1,0,3,0,3,0,0,0,1,2,3,0,FALSE,0,0,92,2,0,1,2,0,0,12,0,0,0,0,0,0,0,0,0,0.3,0,0,FALSE,FALSE,12,0.8,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,FileMode,freemind.modes.filemode.FileMode,1.12,1,0,1,5,0,0,0,2,1,5,1,FALSE,0,0,51,0,0,5,2,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0.19,FALSE,TRUE,9,0.71,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,FileNodeModel,freemind.modes.filemode.FileNodeModel,2.08,0,9,0.07,3,1,1,0,0,1,4,0,FALSE,0,0,134,0,0,2,2,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0.29,FALSE,TRUE,25,0.9,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,FilePopupMenu,freemind.modes.filemode.FilePopupMenu,1,3,0,1,4,0,0,0.5,1,4,5,2,FALSE,0,0,19,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,-1,0,1,FALSE,FALSE,2,0,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,FileToolBar,freemind.modes.filemode.FileToolBar,1,2,0,1,1,0,0,0,1,4,2,1,FALSE,0,0,16,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,FALSE,TRUE,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindIcon,freemind.modes.MindIcon,1.89,0,0,1,2,14,28,0,0,0,6,0,FALSE,0,0,208,10,0,12,4,0,0,19,1,1,2,0,0,0,0,0,2,0.73,0,0.12,FALSE,TRUE,36,0.67,FALSE,FALSE,TRUE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,Mode,freemind.modes.Mode,0.12,0,0,1,1,7,14,0,0,0,1,0,FALSE,0,1,17,0,7,0,0,4,4,8,0,0,0,0,0,0,0,0,0,-1,0,0,FALSE,FALSE,1,1,TRUE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ModesCreator,freemind.modes.ModesCreator,2.67,6,0,1,4,1,2,0,1,0,6,4,FALSE,0,0,68,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,1,FALSE,FALSE,8,1,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ModeController,freemind.modes.ModeController,0,0,0,1,0,46,80,0,0,0,0,0,FALSE,0,3,225,67,68,1,0,6,1,68,0,0,0,0,0,0,0,0,1,0.99,4,0,FALSE,FALSE,0,0.99,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindMap,freemind.modes.MindMap,0,0,0,1,0,49,95,0,0,0,0,0,FALSE,0,2,81,0,22,0,0,5,1,22,0,0,0,0,0,0,0,0,5,-1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindMapNode,freemind.modes.MindMapNode,0,0,0,1,0,101,280,0,0,0,0,0,FALSE,0,3,288,0,92,5,0,7,1,92,0,0,0,0,0,0,0,0,17,-1,0,0,FALSE,FALSE,0,0.95,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MapRegistry,freemind.modes.MapRegistry,1.5,0,0,1,4,18,29,0,4,0,10,0,FALSE,0,0,74,0,0,4,4,0,0,10,0,0,0,0,0,0,0,0,1,-1,0,0.06,FALSE,FALSE,15,0.5,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ArrowLinkAdapter,freemind.modes.ArrowLinkAdapter,2.62,1,0,0,2,4,4,0,0,2,5,1,FALSE,0,1,106,2,0,5,5,2,2,13,0,0,0,1,0,0,0,0,0,0.17,0,0.21,FALSE,FALSE,34,0.58,TRUE,FALSE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,LinkAdapter,freemind.modes.LinkAdapter,1.07,0,0,0.46,3,6,9,2,2,1,3,0,FALSE,0,2,85,0,0,8,14,3,1,15,3,6,0,0,0,0,0,0,0,0.5,2,0.07,FALSE,FALSE,16,0,TRUE,FALSE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindMapArrowLink,freemind.modes.MindMapArrowLink,0,0,0,1,0,4,6,0,0,0,0,0,FALSE,0,2,28,10,10,0,0,3,1,10,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,CloudAdapter,freemind.modes.CloudAdapter,1.69,1,0,0.85,6,1,1,0,1,1,9,1,FALSE,0,1,115,0,0,6,6,2,2,13,0,6,0,1,0,0,0,0,0,0,2,0.08,FALSE,FALSE,22,0.71,TRUE,FALSE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MapAdapter,freemind.modes.MapAdapter,1.47,0,0,1,9,10,22,0,4,1,18,0,FALSE,0,1,321,5,2,9,13,4,4,38,0,7,0,0,0,0,0,0,0,0.25,0,0.02,FALSE,FALSE,56,0.54,TRUE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,EdgeAdapter,freemind.modes.EdgeAdapter,1.88,1,2,0.85,7,3,5,0,1,1,12,1,FALSE,0,1,144,0,0,10,9,4,4,16,0,6,0,3,0,0,0,0,0,0.12,2,0.13,FALSE,FALSE,30,0.33,TRUE,FALSE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindMapLinkRegistry,freemind.modes.MindMapLinkRegistry,0,0,0,1,0,11,17,0,0,0,0,0,FALSE,0,1,40,0,18,0,0,1,1,18,0,0,0,0,0,0,0,0,0,-1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,NodeAdapter,freemind.modes.NodeAdapter,2.1,4,0,1,25,24,33,2,20,0,79,2,FALSE,0,2,1243,18,0,44,35,6,4,129,1,2,1,3,0,0,0,0,0,0.22,0,0.03,FALSE,TRUE,271,0.66,TRUE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ControllerAdapter,freemind.modes.ControllerAdapter,1.81,14,0,1,29,100,213,3.5,3,0,118,7,FALSE,1100,2,1186,17,2,10,17,5,2,99,0,11,1,0,0,1,2,0,11,0.27,7,0.01,FALSE,TRUE,179,0.82,TRUE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,XMLElementAdapter,freemind.modes.XMLElementAdapter,5.65,77,3,0.12,26,1,1,5,3,1,80,26,FALSE,3111,1,530,1,6,31,6,2,2,23,0,12,0,3,1,2,1,1,0,0.5,0,0.16,FALSE,FALSE,130,0.17,TRUE,FALSE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,LineAdapter,freemind.modes.LineAdapter,1.15,0,0,1,2,8,11,0,2,0,2,0,FALSE,0,3,142,0,6,7,6,12,3,20,0,7,0,0,0,0,0,0,0,0.42,0,0.04,FALSE,FALSE,23,0.46,TRUE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindMapCloud,freemind.modes.MindMapCloud,0,0,0,1,0,2,4,0,0,0,0,0,FALSE,0,2,25,4,4,0,0,3,1,4,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,IconInformation,freemind.modes.IconInformation,0,0,0,1,0,2,4,0,0,0,0,0,FALSE,0,1,6,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,-1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindMapEdge,freemind.modes.MindMapEdge,0,0,0,1,0,3,4,0,0,0,0,0,FALSE,0,2,12,2,2,0,0,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,HistoryInformation,freemind.modes.HistoryInformation,1,0,0,1,0,3,3,0,0,0,0,0,FALSE,0,0,29,0,0,2,0,0,0,6,2,0,0,0,0,0,0,0,0,-1,0,0.33,FALSE,FALSE,6,0.67,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindMapLine,freemind.modes.MindMapLine,0,0,0,1,0,20,27,0,0,0,0,0,FALSE,0,4,12,0,7,0,0,17,4,7,0,0,0,0,0,0,0,0,2,-1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MindMapLink,freemind.modes.MindMapLink,0,0,0,1,0,6,13,0,0,0,0,0,FALSE,0,3,20,5,5,0,0,5,2,5,0,0,0,0,0,0,0,0,1,1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,LinkRegistryAdapter,freemind.modes.LinkRegistryAdapter,2.32,9,0,1,6,0,0,2,4,0,9,6,FALSE,1100,0,396,4,0,8,0,0,0,25,0,0,0,0,0,0,0,0,0,0.18,8,0.08,FALSE,FALSE,58,1,FALSE,FALSE,TRUE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,NodeDownAction,freemind.modes.NodeDownAction,1,0,0,1,2,0,0,0,1,1,4,0,FALSE,0,0,10,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,1,FALSE,FALSE,2,1,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,NodeViewEvent,freemind.modes.NodeViewEvent,1,0,0,1,0,0,0,0,1,0,0,0,FALSE,0,0,8,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,-1,0,0,FALSE,TRUE,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,NodeViewEventListener,freemind.modes.NodeViewEventListener,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0,0,10,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,StylePattern,freemind.modes.StylePattern,1.88,1,0,1,6,0,0,0.5,2,0,21,1,FALSE,0,0,381,0,0,15,32,0,0,42,0,1,0,0,0,1,0,0,0,-1,0,0.09,FALSE,FALSE,79,0.16,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,StylePatternFactory,freemind.modes.StylePatternFactory,3.08,0,0,1,7,0,0,0,0,0,21,0,FALSE,0,0,227,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,-1,0,0,FALSE,FALSE,37,0.82,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BrowseArrowLinkModel,freemind.modes.browsemode.BrowseArrowLinkModel,1,0,1,0,0,0,0,0,0,3,0,0,FALSE,0,0,25,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,5,1,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BrowseCloudModel,freemind.modes.browsemode.BrowseCloudModel,1,0,1,0,0,0,0,0,0,2,0,0,FALSE,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,2,1,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BrowseController,freemind.modes.browsemode.BrowseController,1.67,4,2,1,23,1,1,0,1,2,30,4,FALSE,0,0,278,1,0,7,3,0,0,18,3,1,1,4,0,0,0,0,0,0.08,1,0.04,FALSE,TRUE,30,0.69,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BrowseToolBar,freemind.modes.browsemode.BrowseToolBar,2,0,0,1,1,2,3,0,2,4,3,0,FALSE,0,0,37,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,1,FALSE,FALSE,4,0,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BrowseEdgeModel,freemind.modes.browsemode.BrowseEdgeModel,1,0,1,0,0,0,0,0,0,2,0,0,FALSE,0,0,18,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,FALSE,FALSE,4,1,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BrowseHookFactory,freemind.modes.browsemode.BrowseHookFactory,1.11,5,0,1,4,0,0,0,0,1,6,3,FALSE,0,0,82,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,10,0.5,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BrowseMapModel,freemind.modes.browsemode.BrowseMapModel,1.2,0,4,0.09,6,0,0,0,1,2,8,0,FALSE,0,0,134,1,0,2,6,0,0,15,0,1,0,0,0,0,0,0,0,0.27,0,0.01,FALSE,FALSE,18,0.55,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BrowseNodeModel,freemind.modes.browsemode.BrowseNodeModel,1,1,0,0.07,1,0,0,0,0,1,1,1,FALSE,0,1,29,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0.5,0,0,FALSE,FALSE,4,1,FALSE,FALSE,FALSE,FALSE,FALSE
